"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-20","55",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-21","57",,"47"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-22","58",,"47"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-23","64",,"51"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-24","66",,"54"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-25","68","84","57"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-26","71","87","58"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-27","71","87","62"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-28","67","79",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-29","63","75",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-04-30","62",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-01","60","72","54"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-02","61",,"55"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-03","66",,"55"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-04","63",,"56"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-05","61",,"56"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-06","61","64","59"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-07","61","62","60"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-08","64",,"59"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-09","64","70","60"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-10","66","75","61"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-11","65",,"61"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-12","62","69",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-13","61",,"51"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-14","66",,"53"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-05-15","72",,"59"
